"asset_id","source_id","source_path","source_size","source_mtime_ns","source_fps","source_time_seconds","source_end_seconds","source_frame","width","kind","precision","candidate_ids","bit_ids","tags","path","sha256","status","notes"
"legacy_v5_hook_peak","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2182.000","2205.100","","","range_frame","source_range","C09","HOOK","추격 훅 후보","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_analysis/hook_peak.png","afd000494f29a4dfd4f7e25368b60fddf846d4df31df8052d3017921a958c8a3","current","v5에서 이관"
"legacy_v5_intro","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","322.430","423.050","","","range_frame","source_range","","B02","인트로 검토","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_analysis/intro.png","edfbed8a12e0761c86d0c070019cf8fa13f124bdd4f4418a2b8ee4e16f20ecbc","current","v5에서 이관"
"legacy_v5_transition","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","1648.340","1739.340","","","range_frame","source_range","","B07","전환 검토","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_analysis/transition.png","1cb447c2545d4cb07e45001320ff6bbaa57a73b3e22dfd125673df5c8e1073be","current","v5에서 이관"
"legacy_verify_B03","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3014.400","3035.800","","","contact_sheet","source_range","C13","B03","대표 시퀀스 검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_verification/B03_contact.jpg","1203594df2d4950149e5428cad483006838bed504c4bdf61c4920d2fcda5182d","current","v5에서 이관"
"legacy_verify_C02","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2082.000","2114.000","","","contact_sheet","source_range","C09","C02","대표 시퀀스 검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_verification/C02_contact.jpg","d9ba41fd119ed7817e6c58b9f9c90e0d6618aefc80d29b7eb7fc8a5af350452b","current","v5에서 이관"
"legacy_verify_C05b","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2190.500","2233.500","","","contact_sheet","source_range","C09","C05b","대표 시퀀스 검증","outputs/06_analysis/source_assets/backrooms_20260630/legacy/v5_verification/C05b_contact.jpg","74f659c463ea6fcef7c20d170b044a41b8b028d75471981a4af57c77c5a402ea","current","v5에서 이관"
"legacy_frames_B05","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","1106.410","1176.130","","512","frame_set","source_range","C06","B05","기존 원본 프레임 묶음","outputs/06_analysis/source_assets/backrooms_20260630/legacy/video_watch/full-edit-B05","492697193ba53322cfa64c5a1c2cd8d19d36f70e3f559a570145a756fbe92027","current","video-watch에서 이관"
"legacy_frames_B13","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","3502.090","3524.770","","512","frame_set","source_range","C15","B13","기존 원본 프레임 묶음","outputs/06_analysis/source_assets/backrooms_20260630/legacy/video_watch/full-edit-B13","3b830a393c6782dd69681bdd4453f33419b6c8e6639ad43dbf419654473407cd","current","video-watch에서 이관"
"legacy_frames_B15","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","4101.190","4134.940","","512","frame_set","source_range","C18","B15","기존 원본 프레임 묶음","outputs/06_analysis/source_assets/backrooms_20260630/legacy/video_watch/full-edit-B15","3a359deb60af73ef37d9167d07222262205a83c5e09f1b73bba2a5a72a890fb1","current","video-watch에서 이관"
"legacy_frames_hook","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2180.000","2206.000","","512","frame_set","source_range","C09","HOOK","기존 훅 프레임 묶음","outputs/06_analysis/source_assets/backrooms_20260630/legacy/video_watch/full-edit-hook","37661f13db48a2c4966d8f7f750541a2af4426684c1ce33d09078ed59a9e87f8","current","video-watch에서 이관"
"legacy_frames_v3_hook","backrooms_20260630","inputs/2026-06-30 00-23-03.mp4","3799793770","1783226578494110600","60.000000","2180.000","2206.000","","768","frame_set","source_range","C09","HOOK","기존 v3 훅 프레임 묶음","outputs/06_analysis/source_assets/backrooms_20260630/legacy/video_watch/v3-hook","099cebef82129c466a33777ee7ea4e5c893add314c43244b2d867d8752af7b61","current","video-watch에서 이관"
